"user_id","league_id","display_name","owner_name","league_2022"
"76447436205604864","861706911337267200","sgogel1","GOGEL","PREQUEL"
"201419410852814848","861706911337267200","JoeBod","JOE","SEQUEL"
"201421397514256384","861706911337267200","PottsC","CHARLIE","SEQUEL"
"201422658984747008","861706911337267200","Best_Bod","JON","PREQUEL"
"201432272212066304","861706911337267200","jgray2005","JAMES","SEQUEL"
"201433485691322368","861706911337267200","zach34","ZACH","SEQUEL"
"201450514653642752","861706911337267200","scottyvv","SCOTT","SEQUEL"
"201501496271970304","861706911337267200","ncriswell","NICK","PREQUEL"
"201507253159723008","861706911337267200","NorwegianBlues","NATE","SEQUEL"
"201904249083269120","861706911337267200","jbodlovich","JEREMY","PREQUEL"
"300644331281203200","861706911337267200","MHols","MATT","SEQUEL"
"332255454342184960","861706911337267200","Otto9","OTTO","SEQUEL"
"735517785224028160","861706911337267200","FartGarfunkel","ANDY","PREQUEL"
"859284892150800384","861706911337267200","zdhrules","HART","PREQUEL"
"861718958611472384","861706911337267200","swapp","WAPP","PREQUEL"
"861720527537070080","861706911337267200","achrisman","AARON","PREQUEL"
"76447436205604864","861712947813130240","sgogel1","GOGEL","PREQUEL"
"201419410852814848","861712947813130240","JoeBod","JOE","SEQUEL"
"201421397514256384","861712947813130240","PottsC","CHARLIE","SEQUEL"
"201422658984747008","861712947813130240","Best_Bod","JON","PREQUEL"
"201432272212066304","861712947813130240","jgray2005","JAMES","SEQUEL"
"201433485691322368","861712947813130240","zach34","ZACH","SEQUEL"
"201450514653642752","861712947813130240","scottyvv","SCOTT","SEQUEL"
"201501496271970304","861712947813130240","ncriswell","NICK","PREQUEL"
"201507253159723008","861712947813130240","NorwegianBlues","NATE","SEQUEL"
"201904249083269120","861712947813130240","jbodlovich","JEREMY","PREQUEL"
"300644331281203200","861712947813130240","MHols","MATT","SEQUEL"
"332255454342184960","861712947813130240","Otto9","OTTO","SEQUEL"
"735517785224028160","861712947813130240","FartGarfunkel","ANDY","PREQUEL"
"859284892150800384","861712947813130240","zdhrules","HART","PREQUEL"
"861718958611472384","861712947813130240","swapp","WAPP","PREQUEL"
"861720527537070080","861712947813130240","achrisman","AARON","PREQUEL"
