"user_id","display_name"
"76447436205604864","sgogel1"
"201419410852814848","JoeBod"
"201421397514256384","PottsC"
"201422658984747008","Best_Bod"
"201432272212066304","jgray2005"
"201433485691322368","zach34"
"201450514653642752","scottyvv"
"201501496271970304","ncriswell"
"201507253159723008","NorwegianBlues"
"201904249083269120","jbodlovich"
"300644331281203200","MHols"
"332255454342184960","Otto9"
"735517785224028160","FartGarfunkel"
"859284892150800384","zdhrules"
"861718958611472384","swapp"
"861720527537070080","achrisman"
