owner_name,owner_grid_row,owner_grid_column,season
ANTHONY,0,0,2017
CHARLIE,0,1,2017
DAVE,0,2,2017
JAMES,1,0,2017
JEREMY,1,1,2017
JOE,1,2,2017
JON,2,0,2017
MAX,2,1,2017
NATE,2,2,2017
NICK,3,0,2017
OTTO,3,1,2017
SAM,3,2,2017
SCOTT,4,0,2017
ZACH,4,1,2017
ANTHONY,0,0,2018
CHARLIE,0,1,2018
DAVE,0,2,2018
JAMES,1,0,2018
JEREMY,1,1,2018
JOE,1,2,2018
JON,2,0,2018
MAX,2,1,2018
NATE,2,2,2018
NICK,3,0,2018
OTTO,3,1,2018
SAM,3,2,2018
SCOTT,4,0,2018
ZACH,4,1,2018
ANTHONY,0,0,2019
CHARLIE,0,1,2019
DAVE,0,2,2019
JAMES,1,0,2019
JEREMY,1,1,2019
JOE,1,2,2019
JON,2,0,2019
MAX,2,1,2019
NATE,2,2,2019
NICK,3,0,2019
OTTO,3,1,2019
SAM,3,2,2019
SCOTT,4,0,2019
ZACH,4,1,2019
ANTHONY,0,0,2020
CHARLIE,0,1,2020
DAVE,0,2,2020
JAMES,1,0,2020
JEREMY,1,1,2020
JOE,1,2,2020
JON,2,0,2020
MAX,2,1,2020
NATE,2,2,2020
NICK,3,0,2020
OTTO,3,1,2020
SAM,3,2,2020
SCOTT,4,0,2020
ZACH,4,1,2020
ANTHONY,0,0,2021
CHARLIE,0,1,2021
DAVE,0,2,2021
JAMES,1,0,2021
JEREMY,1,1,2021
JOE,1,2,2021
JON,2,0,2021
MAX,2,1,2021
NATE,2,2,2021
NICK,3,0,2021
OTTO,3,1,2021
SAM,3,2,2021
SCOTT,4,0,2021
ZACH,4,1,2021
AARON,0,0,2022
ANDY,0,1,2022
CHARLIE,0,2,2022
GOGEL,0,3,2022
HART,1,0,2022
JAMES,1,1,2022
JEREMY,1,2,2022
JOE,1,3,2022
JON,2,0,2022
MATT,2,1,2022
NATE,2,2,2022
NICK,2,3,2022
OTTO,3,0,2022
SCOTT,3,1,2022
WAPP,3,2,2022
ZACH,3,3,2022
